,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ds,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00
Atlanta Hawks,25952.718031071545,119420.45807422286,29146.077168188902,0.0,241327.2555000228,523173.3081548301,440973.97479114606,0.0,53995.100242848224,116788.34059187383,130840.86368326761,207274.96590117505,83336.76887866158,229333.1888411285
Boston Celtics,328843.7681462071,319563.3617782808,100329.49626713227,55809.41301643428,0.0,510855.4513931839,954591.7805128957,257258.4301222856,0.0,2117.5883996559132,14838.805218047695,127916.62218308012,571446.4492850109,539359.216414619
Charlotte Hornets,109378.57994178863,75570.02507863396,0.0,72241.63719514363,0.0,438407.6471396821,398185.1483531662,0.0,0.0,0.0,3739.3755301378187,86307.44045809707,135172.60135683534,50239.022805861896
Chicago Bulls,62375.65543354179,251549.43318475646,0.0,217732.24165979068,0.0,475438.6702655859,335485.74900749116,0.0,0.0,0.0,1677.9028751630394,99276.52143475327,0.0,381193.0757922104
Cleveland Cavaliers,79539.10428932501,81225.52327660448,117775.39413441095,131568.32812624975,0.0,395464.0534084245,311031.9073810619,4962.688639348431,14786.194639156805,36104.356201283386,38718.420305143314,95315.0597954085,130274.67798363973,118790.44330170986
Dallas Mavericks,39652.60618558534,58268.325967688084,102784.6838003869,0.0,0.0,340517.64255517605,406660.69400897494,0.0,0.0,0.0,5014.497076392312,61818.128517529934,25346.056708500757,55198.741162425606
Denver Nuggets,80402.95180524062,0.0,58209.276156610285,0.0,65200.94608977185,205809.7676057908,122214.9180598443,0.0,0.0,0.0,1683.675320268836,32508.59537656721,123307.52315118659,0.0
Detroit Pistons,163598.25860360643,9039.937397476835,0.0,0.0,58040.91759704053,311977.28298841947,271990.8242362368,0.0,0.0,0.0,5259.974921115492,58451.36973152299,270724.31026475085,0.0
Golden State Warriors,162892.98747893027,314770.55684132926,181309.3300087568,97439.33785708233,0.0,571528.6252865943,728271.4893825754,0.0,0.0,0.0,0.0,91985.13930244291,88327.78431394718,357044.71887852706
Houston Rockets,66249.59343977443,24472.866663266046,0.0,13698.939583440217,12147.883078855091,219034.96797030838,185693.36956724,0.0,0.0,0.0,4055.731732494467,38943.68659579077,93066.31701829443,600.0061587108794
