NBA_team,nearest_month,total n,total weighted n,Q1010_total,Q3010_total,Q1030_total,Q1040_total,Q1010_adj_total,Q3010_adj_total,Q1030_adj_total,Q1040_adj_total,Q1010_weighted_total,Q3010_weighted_total,Q1030_weighted_total,Q1040_weighted_total,Q1010_n,Q3010_n,Q1030_n,Q1040_n,Q1010_weighted_n,Q3010_weighted_n,Q1030_weighted_n,Q1040_weighted_n,Q1010,Q3010,Q1030,Q1040,Q1010_adj,Q3010_adj,Q1030_adj,Q1040_adj,Q1010_weighted,Q3010_weighted,Q1030_weighted,Q1040_weighted
Minnesota Timberwolves,4/1/2021,29,23.65,50,43,71,40,4,6,4,4,8.42,10.6,9.72,5.28,22,22,11,22,20.25,20.25,12.92,20.25,2.272727273,1.954545455,6.454545455,1.818181818,0.181818182,0.272727273,0.363636364,0.181818182,0.415802469,0.52345679,0.752321981,0.260740741
Atlanta Hawks,4/1/2021,58,59.2,133,107,206,77,14,20,12,21,17.82,27.78,16.33,26.82,49,49,27,49,51.73,51.73,30.99,51.73,2.714285714,2.183673469,7.62962963,1.571428571,0.285714286,0.408163265,0.444444444,0.428571429,0.344480959,0.537019138,0.526944176,0.518461241
Los Angeles Lakers/Clippers,4/1/2021,71,110.3,168,138,289,98,18,25,19,24,39.55,37.4,29.53,43.9,61,61,37,61,104.65,104.65,64.43,104.65,2.754098361,2.262295082,7.810810811,1.606557377,0.295081967,0.409836066,0.513513514,0.393442623,0.377926421,0.357381749,0.458326866,0.41949355
No Team,4/1/2021,168,157.13,268,214,372,200,22,25,17,28,31.56,34.99,27.67,44.5,114,114,61,114,112.77,112.77,68.11,112.77,2.350877193,1.877192982,6.098360656,1.754385965,0.192982456,0.219298246,0.278688525,0.245614035,0.279861665,0.310277556,0.406254588,0.394608495
Unsure,4/1/2021,209,213.13,384,317,524,277,32,47,28,43,46.97,59.98,25.41,57.69,160,160,85,160,179.86,179.86,106.68,179.86,2.4,1.98125,6.164705882,1.73125,0.2,0.29375,0.329411765,0.26875,0.261147559,0.333481597,0.238188976,0.320749472
Miami Heat,4/1/2021,50,56.4,116,86,198,66,11,12,11,18,17.1,16.87,19.87,30.43,42,42,28,42,53.68,53.68,42.67,53.68,2.761904762,2.047619048,7.071428571,1.571428571,0.261904762,0.285714286,0.392857143,0.428571429,0.318554396,0.314269747,0.465666745,0.566877794
Detroit Pistons,4/1/2021,42,46.68,92,74,143,63,8,10,7,9,9.69,12,8.75,10.09,36,36,21,36,41.93,41.93,21.03,41.93,2.555555556,2.055555556,6.80952381,1.75,0.222222222,0.277777778,0.333333333,0.25,0.231099451,0.286191271,0.416072278,0.240639161
Portland Trail Blazers,4/1/2021,26,29.29,54,44,82,39,5,5,5,5,6.14,1.35,1.34,1.5,22,22,12,22,25.24,25.24,12.97,25.24,2.454545455,2,6.833333333,1.772727273,0.227272727,0.227272727,0.416666667,0.227272727,0.243264659,0.053486529,0.103315343,0.059429477
Charlotte Hornets,4/1/2021,50,38.71,98,82,157,73,9,11,9,9,11.18,14.66,15.75,6.15,41,41,22,41,34.03,34.03,25.58,34.03,2.390243902,2,7.136363636,1.780487805,0.219512195,0.268292683,0.409090909,0.219512195,0.328533647,0.430796356,0.615715403,0.180722892
Washington Wizards,4/1/2021,39,36.68,80,73,114,51,9,14,7,11,11.54,13.79,4.14,8.35,31,31,16,31,27.54,27.54,17.67,27.54,2.580645161,2.35483871,7.125,1.64516129,0.290322581,0.451612903,0.4375,0.35483871,0.41902687,0.500726216,0.234295416,0.303195352
Dallas Mavericks,4/1/2021,39,37.29,96,74,168,53,11,13,10,15,14.44,21.27,6.21,17.22,34,34,26,34,35.69,35.69,26.49,35.69,2.823529412,2.176470588,6.461538462,1.558823529,0.323529412,0.382352941,0.384615385,0.441176471,0.404595125,0.595965256,0.234428086,0.482488092
Philadelphia 76ers,4/1/2021,81,67.81,148,124,256,100,13,18,16,20,16.8,21.68,18.41,25.01,60,60,32,60,56.7,56.7,29.57,56.7,2.466666667,2.066666667,8,1.666666667,0.216666667,0.3,0.5,0.333333333,0.296296296,0.382363316,0.622590463,0.441093474
Golden State Warriors,4/1/2021,25,32.17,57,43,94,28,9,8,6,8,14.26,11.49,11.22,11.47,18,18,12,18,24.94,24.94,17.91,24.94,3.166666667,2.388888889,7.833333333,1.555555556,0.5,0.444444444,0.5,0.444444444,0.571772253,0.460705694,0.626465662,0.459903769
Chicago Bulls,4/1/2021,53,50.72,113,81,150,72,12,10,7,12,15.7,5.3,8.07,11.87,42,42,25,42,42.12,42.12,31.2,42.12,2.69047619,1.928571429,6,1.714285714,0.285714286,0.238095238,0.28,0.285714286,0.372744539,0.125830959,0.258653846,0.281813865
Phoenix Suns,4/1/2021,49,38.57,78,64,78,66,5,5,4,6,2.54,2.98,1.65,3.49,36,36,17,36,26.23,26.23,7.04,26.23,2.166666667,1.777777778,4.588235294,1.833333333,0.138888889,0.138888889,0.235294118,0.166666667,0.096835684,0.11361037,0.234375,0.133053755
New York Knicks/Brooklyn Nets,4/1/2021,147,140.37,356,279,652,195,48,52,38,51,49.87,57.22,37.68,40.38,123,123,85,123,120.74,120.74,83.69,120.74,2.894308943,2.268292683,7.670588235,1.585365854,0.390243902,0.422764228,0.447058824,0.414634146,0.413036276,0.473910883,0.450233003,0.334437635
Orlando Magic,4/1/2021,52,49.64,106,92,168,75,10,17,9,11,6.69,16.22,6.04,11.72,43,43,26,43,40.39,40.39,24.95,40.39,2.465116279,2.139534884,6.461538462,1.744186047,0.23255814,0.395348837,0.346153846,0.255813953,0.165635058,0.401584551,0.242084168,0.290170834
Cleveland Cavaliers,4/1/2021,45,44.99,98,82,158,60,7,15,10,14,6.37,14.13,5.54,11.03,37,37,20,37,36.55,36.55,23.61,36.55,2.648648649,2.216216216,7.9,1.621621622,0.189189189,0.405405405,0.5,0.378378378,0.174281806,0.386593707,0.234646336,0.301778386
Houston Rockets,4/1/2021,23,16.46,35,28,59,27,2,3,4,5,2.85,1.72,3.51,3.71,16,16,8,16,12.68,12.68,6.86,12.68,2.1875,1.75,7.375,1.6875,0.125,0.1875,0.5,0.3125,0.224763407,0.135646688,0.511661808,0.292586751
Los Angeles Lakers,4/1/2021,35,45.72,82,71,138,54,8,12,5,10,13.68,19.15,12.33,16.4,32,32,19,32,42.68,42.68,32.91,42.68,2.5625,2.21875,7.263157895,1.6875,0.25,0.375,0.263157895,0.3125,0.320524836,0.44868791,0.374658159,0.38425492
Indiana Pacers,4/1/2021,17,15.28,38,26,44,28,2,2,2,2,0.4,1.39,1.39,1.39,15,15,7,15,14.27,14.27,4.06,14.27,2.533333333,1.733333333,6.285714286,1.866666667,0.133333333,0.133333333,0.285714286,0.133333333,0.028030834,0.097407148,0.342364532,0.097407148
Milwaukee Bucks,4/1/2021,28,16.86,61,45,87,40,5,4,2,6,2.17,4.86,0.79,5.54,23,23,16,23,15.72,15.72,7.45,15.72,2.652173913,1.956521739,5.4375,1.739130435,0.217391304,0.173913043,0.125,0.260869565,0.138040712,0.309160305,0.106040268,0.352417303
Boston Celtics,4/1/2021,54,36.75,103,85,116,74,7,13,4,10,6.28,8.83,1.32,4.59,42,42,20,42,29.36,29.36,11.43,29.36,2.452380952,2.023809524,5.8,1.761904762,0.166666667,0.30952381,0.2,0.238095238,0.213896458,0.300749319,0.115485564,0.15633515
Memphis Grizzlies,4/1/2021,17,21.61,23,23,33,23,0,2,1,3,0,6.45,0.87,3.35,13,13,5,13,20.35,20.35,8.24,20.35,1.769230769,1.769230769,6.6,1.769230769,0,0.153846154,0.2,0.230769231,0,0.316953317,0.105582524,0.164619165
San Antonio Spurs,4/1/2021,24,32.3,46,38,90,26,4,7,6,10,6.73,8.87,7.91,14.84,18,18,13,18,24.12,24.12,21.56,24.12,2.555555556,2.111111111,6.923076923,1.444444444,0.222222222,0.388888889,0.461538462,0.555555556,0.279021559,0.36774461,0.366883117,0.615257048
New Orleans Pelicans,4/1/2021,21,16.13,34,31,29,29,2,4,2,3,4.25,4.89,0.81,1.01,16,16,5,16,14.68,14.68,5.26,14.68,2.125,1.9375,5.8,1.8125,0.125,0.25,0.4,0.1875,0.289509537,0.333106267,0.153992395,0.06880109
Denver Nuggets,4/1/2021,30,36.82,70,49,135,36,9,9,8,12,17.84,17.12,12.11,20.79,24,24,18,24,34.02,34.02,24.59,34.02,2.916666667,2.041666667,7.5,1.5,0.375,0.375,0.444444444,0.5,0.524397413,0.503233392,0.492476617,0.611111111
Oklahoma City Thunder,4/1/2021,14,15.82,37,28,66,20,3,5,2,6,5.74,7.9,5.43,11.61,13,13,10,13,15.51,15.51,12.86,15.51,2.846153846,2.153846154,6.6,1.538461538,0.230769231,0.384615385,0.2,0.461538462,0.370083817,0.509348807,0.422239502,0.748549323
Sacramento Kings,4/1/2021,20,26.67,47,36,64,30,5,7,4,4,7.45,4.58,4.71,2.27,17,17,10,17,23.32,23.32,16.82,23.32,2.764705882,2.117647059,6.4,1.764705882,0.294117647,0.411764706,0.4,0.235294118,0.319468268,0.196397942,0.280023781,0.097341338
New York Knicks,4/1/2021,5,4.65,12,12,30,8,1,3,3,2,0.2,0.92,0.77,0.57,5,5,3,5,4.65,4.65,0.77,4.65,2.4,2.4,10,1.6,0.2,0.6,1,0.4,0.043010753,0.197849462,1,0.122580645
Utah Jazz,4/1/2021,5,2.37,11,5,20,6,2,0,1,0,0.89,0,0.69,0,3,3,3,3,1.56,1.56,1.56,1.56,3.666666667,1.666666667,6.666666667,2,0.666666667,0,0.333333333,0,0.570512821,0,0.442307692,0
Charlotte Hornets,5/1/2021,30,19.63,62,49,104,40,7,8,5,8,3.75,7.06,4.11,5.34,24,24,15,24,16.39,16.39,10.73,16.39,2.583333333,2.041666667,6.933333333,1.666666667,0.291666667,0.333333333,0.333333333,0.333333333,0.228798048,0.430750458,0.383038211,0.32580842
Detroit Pistons,5/1/2021,21,28.62,54,41,106,29,8,9,8,7,16.07,17.44,14.81,9.35,18,18,13,18,27.39,27.39,20.25,27.39,3,2.277777778,8.153846154,1.611111111,0.444444444,0.5,0.615384615,0.388888889,0.586710478,0.636728733,0.731358025,0.341365462
Houston Rockets,5/1/2021,33,39.85,81,56,141,45,10,9,7,9,13.62,16.8,10.23,18.7,27,27,20,27,35.78,35.78,29.86,35.78,3,2.074074074,7.05,1.666666667,0.37037037,0.333333333,0.35,0.333333333,0.380659586,0.469536054,0.342598794,0.522638345
No Team,5/1/2021,99,97.95,216,168,308,155,20,21,18,21,24.14,22.85,25.73,24.24,88,88,46,88,84.74,84.74,52.58,84.74,2.454545455,1.909090909,6.695652174,1.761363636,0.227272727,0.238636364,0.391304348,0.238636364,0.284871371,0.269648336,0.489349563,0.286051451
Phoenix Suns,5/1/2021,16,15.92,29,18,33,18,3,2,2,2,2.85,1.62,1.62,1.62,10,10,6,10,9.3,9.3,3.19,9.3,2.9,1.8,5.5,1.8,0.3,0.2,0.333333333,0.2,0.306451613,0.174193548,0.507836991,0.174193548
New York Knicks/Brooklyn Nets,5/1/2021,55,62.95,136,98,241,83,12,12,13,17,17.87,23.11,18.52,22.07,50,50,34,50,59.06,59.06,44.29,59.06,2.72,1.96,7.088235294,1.66,0.24,0.24,0.382352941,0.34,0.302573654,0.391296986,0.418153082,0.373687775
Cleveland Cavaliers,5/1/2021,29,26.48,52,42,96,36,5,4,5,8,3.17,1.55,2.33,5.34,22,22,13,22,16.89,16.89,8.63,16.89,2.363636364,1.909090909,7.384615385,1.636363636,0.227272727,0.181818182,0.384615385,0.363636364,0.187685021,0.091770278,0.269988413,0.31616341
Chicago Bulls,5/1/2021,32,36.59,74,59,115,54,4,8,5,6,4.78,8.15,6.87,7.35,30,30,19,30,35.24,35.24,27.61,35.24,2.466666667,1.966666667,6.052631579,1.8,0.133333333,0.266666667,0.263157895,0.2,0.135641317,0.231271283,0.24882289,0.208569807
Minnesota Timberwolves,5/1/2021,13,7.95,22,19,19,17,2,3,0,1,1.05,0.77,0,0.29,9,9,3,9,5.55,5.55,1.42,5.55,2.444444444,2.111111111,6.333333333,1.888888889,0.222222222,0.333333333,0,0.111111111,0.189189189,0.138738739,0,0.052252252
Golden State Warriors,5/1/2021,11,18.17,27,26,39,19,2,6,3,1,3.11,6.98,8.26,1.66,10,10,5,10,14.01,14.01,9.3,14.01,2.7,2.6,7.8,1.9,0.2,0.6,0.6,0.1,0.221984297,0.49821556,0.888172043,0.118486795
Miami Heat,5/1/2021,25,24.85,56,42,89,36,4,5,4,8,3.62,3.94,5.56,7.42,22,22,13,22,18.6,18.6,12.79,18.6,2.545454545,1.909090909,6.846153846,1.636363636,0.181818182,0.227272727,0.307692308,0.363636364,0.194623656,0.211827957,0.434714621,0.398924731
Philadelphia 76ers,5/1/2021,36,38.36,58,47,70,47,4,4,2,5,5.73,6.31,3.92,6.49,26,26,15,26,29.2,29.2,19.46,29.2,2.230769231,1.807692308,4.666666667,1.807692308,0.153846154,0.153846154,0.133333333,0.192307692,0.196232877,0.21609589,0.201438849,0.222260274
Memphis Grizzlies,5/1/2021,7,4.05,12,10,14,8,2,1,1,2,1.44,0.49,0.95,1.44,5,5,3,5,2.4,2.4,1.77,2.4,2.4,2,4.666666667,1.6,0.4,0.2,0.333333333,0.4,0.6,0.204166667,0.536723164,0.6
Atlanta Hawks,5/1/2021,27,20.35,56,44,80,35,7,7,5,7,3.43,4.35,2.89,2.82,21,21,10,21,17.82,17.82,5.26,17.82,2.666666667,2.095238095,8,1.666666667,0.333333333,0.333333333,0.5,0.333333333,0.192480359,0.244107744,0.549429658,0.158249158
Dallas Mavericks,5/1/2021,32,28.19,72,54,112,46,5,7,8,8,4.29,4.54,7.79,7.81,27,27,16,27,23.42,23.42,16.37,23.42,2.666666667,2,7,1.703703704,0.185185185,0.259259259,0.5,0.296296296,0.183176772,0.193851409,0.475870495,0.333475662
Los Angeles Lakers,5/1/2021,25,49.6,52,45,80,37,3,6,3,7,8.82,10.2,10.43,16.64,22,22,15,22,45.36,45.36,33.55,45.36,2.363636364,2.045454545,5.333333333,1.681818182,0.136363636,0.272727273,0.2,0.318181818,0.194444444,0.224867725,0.310879285,0.366843034
Boston Celtics,5/1/2021,39,32.38,102,73,175,63,14,10,8,9,16.58,5.31,3.97,9.62,36,36,24,36,29.89,29.89,20.63,29.89,2.833333333,2.027777778,7.291666667,1.75,0.388888889,0.277777778,0.333333333,0.25,0.554700569,0.177651388,0.192438197,0.321846771
Unsure,5/1/2021,132,121.88,245,194,356,182,23,23,22,26,27.09,24.57,23.91,34.25,104,104,55,104,98.92,98.92,58.82,98.92,2.355769231,1.865384615,6.472727273,1.75,0.221153846,0.221153846,0.4,0.25,0.273857663,0.248382531,0.40649439,0.346239385
Utah Jazz,5/1/2021,12,12.32,28,21,36,21,3,3,1,1,3.5,3.2,1.15,1.15,11,11,5,11,11.76,11.76,4.27,11.76,2.545454545,1.909090909,7.2,1.909090909,0.272727273,0.272727273,0.2,0.090909091,0.297619048,0.272108844,0.269320843,0.097789116
Washington Wizards,5/1/2021,31,28.13,77,53,139,32,12,11,10,16,14.53,13.09,6.22,16.61,24,24,17,24,23.46,23.46,15.95,23.46,3.208333333,2.208333333,8.176470588,1.333333333,0.5,0.458333333,0.588235294,0.666666667,0.619352089,0.557971014,0.389968652,0.70801364
Los Angeles Lakers/Clippers,5/1/2021,25,40.2,63,48,119,38,6,7,6,8,9.96,9.26,9.24,13.1,23,23,17,23,32.12,32.12,21.11,32.12,2.739130435,2.086956522,7,1.652173913,0.260869565,0.304347826,0.352941176,0.347826087,0.310087173,0.288293898,0.437707248,0.407845579
Portland Trail Blazers,5/1/2021,13,12.15,24,22,31,21,1,3,1,1,2.37,4.57,2.37,2.37,11,11,5,11,9.51,9.51,6.12,9.51,2.181818182,2,6.2,1.909090909,0.090909091,0.272727273,0.2,0.090909091,0.249211356,0.480546793,0.387254902,0.249211356
Orlando Magic,5/1/2021,22,19.48,53,46,81,29,6,10,7,9,8.58,10.77,4.72,5.33,19,19,9,19,16.88,16.88,6.67,16.88,2.789473684,2.421052632,9,1.526315789,0.315789474,0.526315789,0.777777778,0.473684211,0.508293839,0.638033175,0.707646177,0.315758294
New York Knicks,5/1/2021,4,4.2,7,7,10,6,0,1,1,0,0,1.72,1.72,0,3,3,1,3,3.11,3.11,1.72,3.11,2.333333333,2.333333333,10,2,0,0.333333333,1,0,0,0.553054662,1,0
Oklahoma City Thunder,5/1/2021,15,17.8,35,28,47,24,3,3,2,4,3.11,4.99,2.67,6.7,14,14,10,14,16.69,16.69,13.1,16.69,2.5,2,4.7,1.714285714,0.214285714,0.214285714,0.2,0.285714286,0.186339125,0.298981426,0.203816794,0.401437987
Denver Nuggets,5/1/2021,13,12.11,27,20,41,17,4,3,2,1,6.03,4.54,3.94,3.05,9,9,7,9,10.02,10.02,9.26,10.02,3,2.222222222,5.857142857,1.888888889,0.444444444,0.333333333,0.285714286,0.111111111,0.601796407,0.453093812,0.425485961,0.304391218
San Antonio Spurs,5/1/2021,22,15.39,51,38,120,25,4,8,8,9,2.58,5.11,4.73,4.44,17,17,16,17,13.75,13.75,13.55,13.75,3,2.235294118,7.5,1.470588235,0.235294118,0.470588235,0.5,0.529411765,0.187636364,0.371636364,0.349077491,0.322909091
Sacramento Kings,5/1/2021,12,16.41,22,22,40,15,2,5,2,3,4.32,8.34,3.06,3.31,9,9,6,9,14.22,14.22,10.59,14.22,2.444444444,2.444444444,6.666666667,1.666666667,0.222222222,0.555555556,0.333333333,0.333333333,0.303797468,0.58649789,0.288951841,0.232770745
Milwaukee Bucks,5/1/2021,16,11.98,31,27,49,26,1,4,1,2,1.9,3.33,0.2,2.1,14,14,9,14,9.79,9.79,7.7,9.79,2.214285714,1.928571429,5.444444444,1.857142857,0.071428571,0.285714286,0.111111111,0.142857143,0.194075587,0.340143003,0.025974026,0.214504597
New Orleans Pelicans,5/1/2021,16,9.77,35,30,61,28,4,3,3,4,1.97,1.34,1.34,1.98,16,16,8,16,9.77,9.77,5.38,9.77,2.1875,1.875,7.625,1.75,0.25,0.1875,0.375,0.25,0.201637666,0.137154555,0.249070632,0.202661208
Indiana Pacers,5/1/2021,16,14.99,34,27,33,26,3,3,1,2,2.08,1.75,0.25,1.83,14,14,9,14,13.96,13.96,9.84,13.96,2.428571429,1.928571429,3.666666667,1.857142857,0.214285714,0.214285714,0.111111111,0.142857143,0.148997135,0.125358166,0.025406504,0.131088825
New York Knicks/Brooklyn Nets,6/1/2021,59,61.73,141,117,267,75,20,26,14,23,21.36,28.57,12.42,25.12,49,49,37,49,53.31,53.31,38.05,53.31,2.87755102,2.387755102,7.216216216,1.530612245,0.408163265,0.530612245,0.378378378,0.469387755,0.400675295,0.535921966,0.326412615,0.471206153
Phoenix Suns,6/1/2021,21,19.71,43,29,58,28,4,2,3,4,3.13,0.94,2.75,4.65,16,16,10,16,13.15,13.15,8.36,13.15,2.6875,1.8125,5.8,1.75,0.25,0.125,0.3,0.25,0.238022814,0.07148289,0.328947368,0.353612167
