Team,Month,nba web/app unique visitors,search events (unique users),youtube videos watched (unique users),nba web/app unique visitors.1,search events (unique users).1,youtube videos watched (unique users).1
No Team,9/1/2021,5,20,28,6.03906,33.91745,35.13542
No Team,10/1/2021,5,60,26,11.22406,83.80099,27.76392
No Team,11/1/2021,11,75,28,11.53067,88.8266,33.74958
No Team,12/1/2021,12,23,33,13.4458,26.97572,42.03674
No Team,1/1/2022,16,26,35,26.33087,34.28188,36.14653
No Team,2/1/2022,14,25,35,16.89579,32.28481,38.5597
No Team,3/1/2022,23,52,37,39.56504,77.93563,50.85061
No Team,4/1/2022,38,50,44,51.01443,78.17554,57.54324
No Team,5/1/2022,27,83,52,28.58693,131.57224,60.57592
No Team,6/1/2022,27,85,61,31.50477,145.47126,75.42544
No Team,7/1/2022,29,49,59,33.40919,70.64666,73.3299
Unsure,9/1/2021,7,24,34,5.4762,30.98178,38.38829
Unsure,10/1/2021,17,57,38,18.6435,67.37262,40.09151
Unsure,11/1/2021,26,73,38,34.87305,70.09948,41.77957
Unsure,12/1/2021,20,26,54,24.1513,26.51816,62.52777
Unsure,1/1/2022,19,39,53,26.66016,41.85946,54.5896
Unsure,2/1/2022,21,29,50,27.7615,29.54638,46.92333
Unsure,3/1/2022,38,56,55,37.98427,67.20066,54.62642
Unsure,4/1/2022,50,58,92,53.39294,66.30912,99.27645
Unsure,5/1/2022,30,81,75,34.40976,112.97924,87.95852
Unsure,6/1/2022,32,89,96,33.23703,98.74299,97.38997
Unsure,7/1/2022,33,56,101,33.96645,62.57932,101.56111
Unsure,8/1/2022,35,50,81,28.24333,59.49517,85.43287
Phoenix Suns,9/1/2021,5,9,3,3.35604,13.20646,5.21771
Phoenix Suns,10/1/2021,4,23,11,8.72212,26.81376,11.64511
Phoenix Suns,11/1/2021,3,27,10,4.09871,28.18389,10.13977
Phoenix Suns,12/1/2021,4,6,8,3.98313,4.86638,6.7576
Phoenix Suns,1/1/2022,6,10,9,8.42499,7.67186,6.29589
Phoenix Suns,2/1/2022,1,12,7,0.37533,8.44311,6.9944
Phoenix Suns,3/1/2022,9,17,13,13.50339,20.91389,18.23559
Phoenix Suns,4/1/2022,15,17,17,20.68418,16.96331,20.99101
Phoenix Suns,5/1/2022,6,22,16,9.75543,21.41757,16.1369
Phoenix Suns,6/1/2022,5,21,15,2.88706,22.33863,17.42463
Phoenix Suns,7/1/2022,7,12,21,7.8549,10.01804,27.05904
Phoenix Suns,8/1/2022,11,11,20,10.99831,18.90461,19.84763
Multiple,9/1/2021,23,81,96,29.84341,101.42572,120.65131
Multiple,10/1/2021,53,155,89,68.48736,203.54494,111.07877
Multiple,11/1/2021,48,215,99,67.09192,280.65777,114.18111
Multiple,12/1/2021,50,94,131,64.98493,133.75121,163.50846
Multiple,1/1/2022,78,85,120,96.95413,118.84847,154.70635
Multiple,2/1/2022,60,114,144,82.03293,135.86944,182.1093
Multiple,3/1/2022,147,148,181,176.36699,201.11516,270.64589
Multiple,4/1/2022,159,184,210,208.17144,271.46764,304.61725
Multiple,5/1/2022,168,217,237,199.10466,308.71281,307.62421
Multiple,6/1/2022,131,258,238,158.03988,378.49277,337.95012
Multiple,7/1/2022,121,129,286,141.65556,185.7311,347.05262
Multiple,8/1/2022,87,140,236,96.1346,208.96016,312.23447
Denver Nuggets,9/1/2021,0,4,5,0,4.27391,7.77413
Denver Nuggets,10/1/2021,3,6,7,3.53771,4.35635,6.97409
Denver Nuggets,11/1/2021,4,9,4,5.77819,10.90714,3.52734
Denver Nuggets,12/1/2021,5,2,5,6.07575,1.9174,7.48891
Denver Nuggets,1/1/2022,2,2,8,3.341,1.70904,12.18349
Denver Nuggets,2/1/2022,1,6,7,1.50991,8.81133,9.00606
Denver Nuggets,3/1/2022,7,7,8,10.8173,10.58331,17.95785
Denver Nuggets,4/1/2022,7,8,13,10.92554,12.92897,16.67898
Denver Nuggets,5/1/2022,3,8,10,5.93355,8.128,14.42582
Denver Nuggets,6/1/2022,6,16,10,7.69014,15.68346,16.84972
Denver Nuggets,7/1/2022,5,1,7,5.67466,0.49501,9.72752
Denver Nuggets,8/1/2022,2,2,4,4.25759,3.74203,5.0918
Boston Celtics,9/1/2021,4,10,7,2.961,5.83323,5.74821
Boston Celtics,10/1/2021,14,28,10,10.85002,25.04353,9.87933
Boston Celtics,11/1/2021,9,38,12,10.30448,36.30626,14.47831
Boston Celtics,12/1/2021,10,12,13,8.82784,12.91705,19.26751
Boston Celtics,1/1/2022,13,11,19,11.37825,9.5274,24.09529
Boston Celtics,2/1/2022,10,13,10,7.80243,11.32738,13.43959
Boston Celtics,3/1/2022,22,27,18,25.2894,32.12249,27.43375
Boston Celtics,4/1/2022,21,23,25,21.61869,27.92999,29.40695
Boston Celtics,5/1/2022,18,33,22,19.38515,42.33123,22.2785
Boston Celtics,6/1/2022,22,48,23,26.6804,68.5393,30.0174
Boston Celtics,7/1/2022,18,19,23,21.4817,25.8605,25.36244
Boston Celtics,8/1/2022,16,21,17,20.21293,27.98271,18.43594
Washington Wizards,9/1/2021,2,8,11,1.26756,9.71275,14.53482
Washington Wizards,10/1/2021,6,10,10,4.56109,10.15984,13.80654
Washington Wizards,11/1/2021,2,13,4,2.76274,16.99114,7.37778
Washington Wizards,12/1/2021,2,6,7,1.97492,4.22446,9.8549
Washington Wizards,1/1/2022,2,8,6,1.8138,11.66334,6.7477
Washington Wizards,2/1/2022,1,6,9,0.92161,4.93358,9.6432
Washington Wizards,4/1/2022,10,20,17,8.94071,20.32305,19.65338
Washington Wizards,5/1/2022,8,16,11,8.90493,17.63361,10.03512
Washington Wizards,6/1/2022,10,15,14,8.84603,16.41013,14.0831
Washington Wizards,7/1/2022,5,8,24,1.969,5.64484,22.00022
Washington Wizards,8/1/2022,9,7,20,5.37609,2.94563,18.75658
Atlanta Hawks,9/1/2021,4,5,5,2.4992,5.32363,5.96866
Atlanta Hawks,10/1/2021,4,12,6,4.65248,18.85528,5.23008
Atlanta Hawks,11/1/2021,5,18,11,5.4211,27.361,12.41335
Atlanta Hawks,12/1/2021,5,10,19,5.48044,10.60813,21.35836
Atlanta Hawks,1/1/2022,7,12,17,6.0438,19.79549,13.76497
Atlanta Hawks,2/1/2022,6,12,20,4.64693,13.4034,20.87918
Atlanta Hawks,3/1/2022,25,15,19,19.76833,21.56557,16.9033
Atlanta Hawks,4/1/2022,22,10,13,20.53365,16.04586,18.79685
Atlanta Hawks,5/1/2022,14,19,27,8.86436,20.43398,30.47852
Atlanta Hawks,6/1/2022,19,24,30,16.81936,28.58465,25.4053
Atlanta Hawks,7/1/2022,13,12,37,12.78038,16.01922,29.17656
Atlanta Hawks,8/1/2022,11,18,27,8.83265,17.29838,30.42503
No Team,8/1/2022,22,35,52,19.33096,58.16728,65.65403
Chicago Bulls,9/1/2021,2,8,13,5.32965,9.64414,11.05966
Chicago Bulls,10/1/2021,5,24,11,7.76538,25.57038,12.09455
Chicago Bulls,11/1/2021,8,34,10,9.68339,38.8696,10.8332
Chicago Bulls,12/1/2021,10,10,10,11.34493,11.02482,9.20107
Chicago Bulls,1/1/2022,9,19,15,9.385,18.97649,18.62159
Chicago Bulls,2/1/2022,7,15,20,10.31935,17.04448,23.75742
Chicago Bulls,3/1/2022,20,27,27,25.6029,30.94042,32.01976
Chicago Bulls,4/1/2022,24,23,40,26.30761,26.26567,54.99761
Chicago Bulls,5/1/2022,18,44,43,21.34485,51.29735,54.50816
Chicago Bulls,6/1/2022,20,45,28,25.77031,67.07425,37.36013
Chicago Bulls,7/1/2022,15,15,28,17.78346,18.70854,38.60853
Chicago Bulls,8/1/2022,10,13,27,8.04252,19.97431,43.8972
Indiana Pacers,9/1/2021,2,6,1,2.21765,6.04803,1.01103
Indiana Pacers,10/1/2021,3,12,5,3.03978,12.77139,3.54852
Indiana Pacers,11/1/2021,4,20,9,2.77184,17.34256,5.47411
Indiana Pacers,12/1/2021,4,8,8,5.64554,6.31544,6.62401
Indiana Pacers,1/1/2022,6,6,7,5.79433,4.91768,5.12028
Indiana Pacers,2/1/2022,6,4,7,4.5894,3.27666,3.79538
Indiana Pacers,3/1/2022,6,11,14,4.25841,9.91916,10.07541
Indiana Pacers,4/1/2022,12,8,12,10.20342,10.02613,11.37456
Indiana Pacers,5/1/2022,11,21,25,9.53061,22.58651,26.40496
Indiana Pacers,6/1/2022,10,19,17,8.95084,21.31576,22.45499
Indiana Pacers,7/1/2022,4,7,11,2.10478,4.59894,13.88142
Indiana Pacers,8/1/2022,4,7,11,3.7534,10.87033,11.25252
New Orleans Pelicans,9/1/2021,1,1,3,0.88878,0.88878,2.03606
New Orleans Pelicans,10/1/2021,2,3,4,1.09266,1.97695,5.65846
New Orleans Pelicans,11/1/2021,2,4,4,2.09018,2.36045,5.52207
New Orleans Pelicans,12/1/2021,3,4,7,4.15687,2.47715,7.48629
New Orleans Pelicans,1/1/2022,2,1,3,3.56261,2.79691,4.31779
New Orleans Pelicans,2/1/2022,2,4,3,1.14549,3.16114,4.50517
New Orleans Pelicans,3/1/2022,4,3,5,1.82419,3.17284,5.99977
New Orleans Pelicans,4/1/2022,6,8,8,5.12112,5.31222,5.78551
New Orleans Pelicans,5/1/2022,6,5,11,4.00316,4.87934,13.44456
New Orleans Pelicans,6/1/2022,3,6,10,1.66194,4.6417,9.19153
New Orleans Pelicans,7/1/2022,1,1,9,0.76704,0.26285,8.16087
New Orleans Pelicans,8/1/2022,4,2,9,2.66419,1.21523,9.0721
Washington Wizards,3/1/2022,3,8,9,2.49868,8.63055,9.18527
Detroit Pistons,9/1/2021,2,6,9,5.27755,8.67888,8.74375
Detroit Pistons,10/1/2021,8,26,14,10.97475,29.97097,12.14016
Detroit Pistons,11/1/2021,7,32,19,7.32417,34.24131,19.12341
Detroit Pistons,12/1/2021,7,12,14,8.6142,12.42477,13.57199
Detroit Pistons,1/1/2022,5,12,18,5.47495,14.13381,19.75461
Detroit Pistons,2/1/2022,4,11,8,3.59607,7.43844,7.2617
Detroit Pistons,3/1/2022,15,18,21,14.1793,16.53638,17.82248
Detroit Pistons,4/1/2022,14,20,29,10.99193,24.95165,29.91159
Detroit Pistons,5/1/2022,7,26,35,6.99271,31.22065,36.40619
Detroit Pistons,6/1/2022,5,29,37,4.69977,44.09625,34.89762
Detroit Pistons,7/1/2022,3,13,27,1.78531,13.6433,25.37108
Detroit Pistons,8/1/2022,7,13,23,7.52829,16.37464,17.89766
Minnesota Timberwoles,9/1/2021,0,3,4,0,1.63191,2.0829
Minnesota Timberwoles,10/1/2021,2,7,2,1.04503,9.16944,1.47839
Minnesota Timberwoles,11/1/2021,4,10,3,4.51915,4.92764,3.87149
Minnesota Timberwoles,12/1/2021,4,5,3,4.76494,5.27469,3.89483
Minnesota Timberwoles,1/1/2022,5,3,5,4.91461,3.48567,5.24724
Minnesota Timberwoles,2/1/2022,4,2,5,4.39251,2.86828,3.67637
Minnesota Timberwoles,3/1/2022,3,4,4,3.39222,3.36429,3.18323
Minnesota Timberwoles,4/1/2022,9,8,3,11.5318,9.97391,2.35235
Minnesota Timberwoles,5/1/2022,5,9,7,3.96707,6.42774,11.0762
Minnesota Timberwoles,6/1/2022,3,9,3,3.63871,6.36528,3.13076
Minnesota Timberwoles,7/1/2022,5,2,7,4.94011,1.52287,6.86091
Minnesota Timberwoles,8/1/2022,2,4,6,2.16663,4.37098,6.3685
Charlotte Hornets,9/1/2021,1,10,12,1.69685,9.56936,9.85687
Charlotte Hornets,10/1/2021,9,21,14,8.15609,16.83932,10.50789
Charlotte Hornets,11/1/2021,6,25,12,7.54499,19.53918,9.83406
Charlotte Hornets,12/1/2021,7,5,16,9.54723,3.69044,11.81775
Charlotte Hornets,1/1/2022,5,6,13,5.91118,3.64611,10.38401
Charlotte Hornets,2/1/2022,7,10,14,10.54456,4.99504,15.00264
Charlotte Hornets,3/1/2022,8,19,17,7.58573,20.65047,20.79701
Charlotte Hornets,4/1/2022,15,24,23,15.5251,25.7275,18.6394
Charlotte Hornets,5/1/2022,15,31,24,15.57099,35.95874,24.89955
Charlotte Hornets,6/1/2022,13,29,20,11.0521,33.28242,19.58346
Charlotte Hornets,7/1/2022,20,16,35,22.51012,26.92761,31.98714
Charlotte Hornets,8/1/2022,11,21,33,16.26507,28.48099,35.32649
Cleveland Cavaliers,9/1/2021,4,10,16,5.2075,8.2099,14.35486
Cleveland Cavaliers,10/1/2021,11,18,12,10.2735,21.4177,11.93542
Cleveland Cavaliers,11/1/2021,6,28,9,4.43859,33.06,16.22375
Cleveland Cavaliers,12/1/2021,12,15,10,20.78898,14.67464,12.87514
Cleveland Cavaliers,1/1/2022,10,12,8,15.80136,14.92873,7.60384
Cleveland Cavaliers,2/1/2022,8,12,16,15.22318,16.8736,19.75397
Cleveland Cavaliers,3/1/2022,15,18,17,18.12013,19.74641,19.12085
Cleveland Cavaliers,4/1/2022,15,19,25,21.99369,17.59855,23.29952
Cleveland Cavaliers,5/1/2022,9,26,19,12.8832,26.74477,15.78524
Cleveland Cavaliers,6/1/2022,16,31,24,18.5362,43.08215,20.54845
Cleveland Cavaliers,7/1/2022,13,16,38,11.17296,17.06449,34.4822
Cleveland Cavaliers,8/1/2022,15,17,31,12.63621,21.30968,28.28805
Oklahoma City Thunder,9/1/2021,1,3,2,0.59852,1.7631,3.88725
Oklahoma City Thunder,10/1/2021,1,6,2,3.73036,4.69109,1.02359
Oklahoma City Thunder,11/1/2021,2,7,1,1.71526,5.86413,0.39275
Oklahoma City Thunder,12/1/2021,1,3,1,0.65535,4.98192,0.32319
Oklahoma City Thunder,1/1/2022,0,3,1,0,4.67941,3.53356
Oklahoma City Thunder,2/1/2022,1,2,3,0.3963,4.06509,2.72645
Oklahoma City Thunder,3/1/2022,2,3,5,1.01497,4.45193,5.58367
Oklahoma City Thunder,4/1/2022,2,6,2,1.07625,6.38054,2.40737
Oklahoma City Thunder,5/1/2022,5,5,5,4.54348,5.48818,6.39144
Oklahoma City Thunder,6/1/2022,2,7,7,1.21286,6.23091,4.68083
Oklahoma City Thunder,7/1/2022,2,4,8,2.92815,5.18767,5.36875
Oklahoma City Thunder,8/1/2022,2,3,5,0.69411,4.76068,3.27878
Portland Trail Blazers,9/1/2021,4,3,4,5.83573,4.58215,4.89818
Portland Trail Blazers,10/1/2021,6,8,6,11.73169,10.04483,4.34612
Portland Trail Blazers,11/1/2021,6,10,3,13.02437,13.69367,4.9221
Portland Trail Blazers,12/1/2021,6,5,9,13.96305,8.73543,10.23335
Portland Trail Blazers,1/1/2022,3,2,6,7.43992,2.91498,7.52181
Portland Trail Blazers,2/1/2022,4,9,4,5.19945,10.10659,4.43349
Portland Trail Blazers,3/1/2022,9,6,10,13.1819,10.35362,15.33926
Portland Trail Blazers,4/1/2022,8,11,7,12.05379,16.84162,9.71467
Portland Trail Blazers,5/1/2022,4,12,9,5.11025,19.34704,12.98069
Portland Trail Blazers,6/1/2022,7,11,11,17.23509,18.44609,16.20677
Portland Trail Blazers,7/1/2022,7,8,6,11.59542,13.69715,10.44268
Portland Trail Blazers,8/1/2022,4,10,6,3.14531,9.69271,7.15396
Philadelphia 76ers,9/1/2021,3,14,5,1.36036,11.47281,2.97607
Philadelphia 76ers,10/1/2021,10,30,12,6.10826,25.02241,6.92688
Philadelphia 76ers,11/1/2021,7,38,11,4.85679,33.13846,9.24417
Philadelphia 76ers,12/1/2021,6,14,19,6.91389,13.08174,14.00895
Philadelphia 76ers,1/1/2022,5,11,21,2.64245,7.47567,19.39796
Philadelphia 76ers,2/1/2022,8,20,19,12.50671,16.91604,18.87857
Philadelphia 76ers,3/1/2022,21,36,20,22.47001,40.90555,19.9945
Philadelphia 76ers,4/1/2022,19,35,40,16.54827,32.80423,47.23284
Philadelphia 76ers,5/1/2022,17,41,39,22.38665,52.70419,48.49748
Philadelphia 76ers,6/1/2022,15,44,37,21.32769,50.21101,48.91424
Philadelphia 76ers,7/1/2022,12,19,25,15.74038,28.44089,30.76338
Philadelphia 76ers,8/1/2022,7,18,20,9.78115,32.98324,27.80123
Memphis Grizzlies,9/1/2021,2,8,7,5.23339,9.32125,8.94469
Memphis Grizzlies,10/1/2021,2,11,5,0.8819,14.38082,3.98446
Memphis Grizzlies,11/1/2021,2,15,5,0.8637,17.67774,4.35504
Memphis Grizzlies,12/1/2021,2,11,8,2.33987,15.97766,6.64064
Memphis Grizzlies,1/1/2022,0,12,8,0,16.31776,4.90287
Memphis Grizzlies,2/1/2022,3,9,5,2.12168,11.72835,5.47079
Memphis Grizzlies,3/1/2022,7,11,11,4.67913,14.64074,12.77313
Memphis Grizzlies,4/1/2022,6,12,13,4.75505,13.59963,17.75132
Memphis Grizzlies,5/1/2022,7,19,12,7.15528,18.44839,12.80381
Memphis Grizzlies,6/1/2022,5,17,15,5.39841,16.53224,17.98544
Memphis Grizzlies,7/1/2022,10,7,22,7.29509,7.0005,20.0081
Memphis Grizzlies,8/1/2022,7,7,13,6.63152,9.67949,11.31207
Utah Jazz,9/1/2021,0,2,3,0,1.10019,5.97828
Utah Jazz,10/1/2021,1,4,2,0.68005,3.56622,4.87329
Utah Jazz,11/1/2021,2,8,2,0.97387,7.20929,1.52746
Utah Jazz,12/1/2021,2,5,5,1.09461,4.77623,8.12826
Utah Jazz,1/1/2022,3,3,1,1.49325,1.86189,3.37284
Utah Jazz,2/1/2022,2,7,5,1.72159,6.56081,5.76171
Utah Jazz,3/1/2022,2,6,4,1.28762,5.82765,8.10366
Utah Jazz,4/1/2022,5,10,5,3.40265,9.26139,8.2229
Utah Jazz,5/1/2022,5,7,3,3.94517,4.5445,6.77791
Utah Jazz,6/1/2022,4,13,3,2.55066,11.33802,2.87691
Utah Jazz,7/1/2022,3,6,5,2.07306,6.49185,3.11034
Utah Jazz,8/1/2022,4,2,5,2.83346,2.37108,7.02058
Milwaukee Bucks,9/1/2021,1,1,8,0.52084,0.43574,8.01901
Milwaukee Bucks,10/1/2021,2,10,5,1.33396,7.79514,4.26552
N/A,11/1/2021,1,22,5,0.94938,15.72037,3.73203
N/A,12/1/2021,6,13,9,10.18937,14.41193,6.2389
N/A,1/1/2022,4,4,11,3.82089,2.68984,7.87936
N/A,2/1/2022,4,7,8,2.93056,9.72628,8.25515
