dma,team,Month,nba games watched unweighted,nba tv shows watched unweighted,nba games watched - unique users unweighted,nba tv shows watched - unique users unweighted,nba games watched,nba tv shows watched,nba games watched - unique users,nba tv shows watched - unique users,num_users,weighted_num_users
500,Boston Celtics,2021-04-01,4837,6002,825,952,4953.2575938744,6142.72097720813,841.065176377063,972.191726552211,7876,7985.030232140404
500,Boston Celtics,2021-05-01,9822,11353,1229,1356,10752.9690476332,12428.7468829749,1345.8836645294,1485.09995417299,7919,8662.438238979734
500,Boston Celtics,2021-06-01,10019,11932,1028,1118,11014.5505035803,13117.8500085044,1130.10432277518,1228.98463654971,7928,8730.366116736246
500,Boston Celtics,2021-07-01,4602,6118,982,1185,5101.0894361174,6782.57454919487,1088.75270547647,1314.27584854417,8123,9026.298028087478
500,Boston Celtics,2021-08-01,719,763,203,211,799.835587825188,848.849800005689,225.843499522093,234.768533029406,7979,8898.102305717548
500,Boston Celtics,2021-09-01,9,52,5,23,10.1352192253304,58.4761171393298,5.62994249703732,25.866351416259,7863,8866.09804350927
500,Boston Celtics,2021-10-01,1763,2447,452,541,1987.61114014236,2758.73692312463,509.568426963108,609.875934393613,7919,8940.0520153023
500,Boston Celtics,2021-11-01,3900,4926,673,753,4414.20741689792,5575.63190932439,761.570349198913,852.129903007164,7578,8589.574309070102
500,Boston Celtics,2021-12-01,3977,5059,781,893,4469.50059117483,5684.70943283537,877.745084591576,1003.30096789229,7649,8607.04738054526
500,Boston Celtics,2022-01-01,3104,4140,594,714,3470.08183433743,4628.35850455531,664.078845501582,798.295597479556,7481,8378.362042947954
500,Boston Celtics,2022-02-01,4977,6260,825,980,5585.77927364395,7025.72303813143,925.886636593607,1099.81476503407,7255,8153.169353798127
500,Boston Celtics,2022-03-01,5343,6873,849,995,5991.4874531438,7707.10871012414,951.949507193899,1115.5904976957,7256,8155.39243325849
500,Boston Celtics,2022-04-01,13517,15615,1426,1561,15435.9742503617,17831.8921043463,1628.4346714885,1782.55749171612,7188,8202.918254052804
500,Boston Celtics,2022-05-01,28251,33328,2253,2397,33060.4298422202,39002.8313070458,2637.0081735198,2805.26175487594,7417,8684.027980391484
500,Boston Celtics,2022-06-01,11227,15263,2037,2396,13233.5861278738,17986.6568095416,2399.84356093457,2821.99158737635,7396,8694.38826457365
500,Boston Celtics,2022-07-01,651,990,250,359,758.721000250514,1153.75326298626,291.352495081603,418.360037779099,7501,8770.367825596233
500,Boston Celtics,2022-08-01,36,223,22,110,42.3249118920012,262.102939215458,25.8665860545542,129.276658378925,7418,8732.548447711593
500,Boston Celtics,2022-09-01,19,278,11,145,22.438911879871,328.56971580912,12.9975322623906,171.378574558385,7436,8795.325409661957
500,Boston Celtics,2022-10-01,3528,4424,602,673,4280.67397303952,5367.87579407195,730.567911309752,816.703287456712,7067,8553.199878066003
501,New York Knicks/Brooklyn Nets,2021-04-01,355901,427060,33976,36186,263293.523311257,315988.23022358,25108.4310441915,26754.9496789329,200037,147459.89698405575
501,New York Knicks/Brooklyn Nets,2021-05-01,706043,815744,48998,51179,549018.041793629,634236.95373283,38124.8951201317,39820.1938853372,200342,155362.32173009095
501,New York Knicks/Brooklyn Nets,2021-06-01,820534,993234,50292,52263,646384.98276933,782471.709103155,39616.3721529579,41170.6761400318,199723,157678.9119233452
501,New York Knicks/Brooklyn Nets,2021-07-01,240435,332282,37428,42626,192050.965155038,265482.185270827,29905.1167947864,34073.7082264051,202585,162349.22178588586
501,New York Knicks/Brooklyn Nets,2021-08-01,44520,51300,8102,8538,36006.3820639249,41495.012875098,6552.95538048481,6906.42127847224,197563,160216.08251431567
501,New York Knicks/Brooklyn Nets,2021-09-01,1977,8332,690,1958,1616.8831941352,6809.55134591563,564.301215879373,1600.06974473049,196414,160703.54504040908
501,New York Knicks/Brooklyn Nets,2021-10-01,211196,273805,25444,27522,173496.930067162,224929.411749787,20902.4289314608,22609.2430196873,195715,160894.70449072987
501,New York Knicks/Brooklyn Nets,2021-11-01,260804,339863,28112,30483,214560.394780921,279602.22393674,23125.69123431,25076.2542635081,192178,158318.75163840194
501,New York Knicks/Brooklyn Nets,2021-12-01,319041,399005,34017,36531,260287.175428916,325512.740007952,27751.6956422762,29801.3456885186,193401,158038.4774321424
501,New York Knicks/Brooklyn Nets,2022-01-01,333274,422449,29908,32827,270544.338277999,342935.058585221,24279.1150185325,26648.6460889511,193317,157183.8488012596
501,New York Knicks/Brooklyn Nets,2022-02-01,314358,413988,32953,36697,255998.770929123,337132.561704265,26836.2016373604,29885.1227837155,188442,153671.3179778299
501,New York Knicks/Brooklyn Nets,2022-03-01,347969,431784,31704,35060,284522.435862579,353053.870758762,25919.6673915381,28662.4651836104,187684,153743.80260818847
501,New York Knicks/Brooklyn Nets,2022-04-01,632469,751656,43246,46284,522589.73136077,621064.889406233,35730.29441168,38238.8602716678,185868,153639.42470040065
501,New York Knicks/Brooklyn Nets,2022-05-01,646115,790217,46839,50049,541542.56310278,662361.087178648,39261.5919171424,41954.6576773011,187657,157578.79497028934
501,New York Knicks/Brooklyn Nets,2022-06-01,213941,319516,42348,51362,181080.015459584,270414.112093359,35837.3050045888,43464.4766324035,183478,155440.66515773739
501,New York Knicks/Brooklyn Nets,2022-07-01,45148,63820,10021,13720,38385.3589773138,54254.9688503699,8518.25334554067,11659.7690441224,181571,154918.74576414705
501,New York Knicks/Brooklyn Nets,2022-08-01,3050,17535,1206,5150,2629.65065066213,15115.8252260919,1039.63487071266,4437.94852259603,179981,155449.88641539603
501,New York Knicks/Brooklyn Nets,2022-09-01,3318,17682,988,5354,2885.96023524559,15380.7828327277,859.403552140488,4657.66774237254,184045,160256.62848710312
501,New York Knicks/Brooklyn Nets,2022-10-01,191846,241715,22545,24848,170030.121480135,214223.249803612,19982.0178274463,22022.5548957528,174965,154838.5993068188
502,Unsure,2021-04-01,1603,1818,160,187,2192.98025802405,2489.78596646809,217.395942565453,255.29330575739,1926,2593.999924758819
502,Unsure,2021-05-01,2955,3396,246,269,4323.00336403942,4968.10001651126,359.975798312289,393.629572385684,1893,2760.553582128583
502,Unsure,2021-06-01,3175,3785,230,248,4706.85094887755,5611.33964218824,340.908773403084,367.582332960992,1819,2701.558430986521
502,Unsure,2021-07-01,1071,1393,204,245,1602.20138020332,2083.80662435733,305.218179907552,366.554476059741,1874,2806.7585709014766
502,Unsure,2021-08-01,211,218,46,46,315.936514586578,326.417611695259,68.8736296930832,68.8736296930832,1856,2783.7076315034624
502,Unsure,2021-09-01,28,66,2,6,42.3014823585085,99.6438524758406,3.01762310465239,9.02049765772493,1816,2735.3307700112564
502,Unsure,2021-10-01,744,957,123,141,1132.35522793046,1456.45522172003,187.214492689431,214.623191251292,1798,2739.904985615185
502,Unsure,2021-11-01,1080,1415,169,190,1652.73988143429,2165.31021138657,258.624427639039,290.735771538335,1776,2721.559252982574
502,Unsure,2021-12-01,1231,1510,191,218,1882.57629651973,2308.94811851687,291.991487189466,333.209552772298,1824,2795.2679956832094
502,Unsure,2022-01-01,1376,1719,158,193,2131.26806816842,2662.75863698469,244.803767883751,299.081191158526,1787,2769.622226633115
502,Unsure,2022-02-01,1454,1890,199,223,2245.5419267474,2918.84865594389,307.355545590705,344.412723001997,1726,2669.73836012165
502,Unsure,2022-03-01,1346,1692,175,204,2085.94380796403,2622.23821131917,271.127176844487,316.040683475488,1733,2691.27693945619
502,Unsure,2022-04-01,3144,3817,325,346,4932.36746038687,5988.01416438481,509.897315889476,542.842805927933,1718,2694.9488136295927
502,Unsure,2022-05-01,3079,3793,315,345,4863.89210561874,5992.19714662568,497.939243513955,545.423209897312,1687,2670.325170676614
502,Unsure,2022-06-01,1020,1682,278,367,1625.42960480761,2679.53977435104,442.609505203441,584.288454586534,1645,2620.5986132627304
502,Unsure,2022-07-01,170,246,50,77,270.002463228054,390.786895392993,79.3807319174076,122.197299398139,1675,2680.4012762183966
502,Unsure,2022-08-01,18,70,10,36,29.2819624877234,113.704654695552,16.2664232719513,58.4990524309517,1611,2620.404341215834
502,Unsure,2022-09-01,3,94,3,36,4.90292259595628,154.123049586817,4.90292259595628,59.0480427177155,1638,2686.619503345394
502,Unsure,2022-10-01,726,955,110,125,1215.59958302744,1598.83669470508,184.108029031561,209.214585626321,1601,2668.1618129118733
503,Atlanta Hawks,2021-04-01,7309,8994,651,684,7192.81984921429,8845.86644131935,640.724795212194,673.456478265145,5419,5260.508912089902
503,Atlanta Hawks,2021-05-01,14393,17224,925,982,15046.851534036,18003.7656233041,967.589292172815,1027.16753337626,5244,5475.028028385754
503,Atlanta Hawks,2021-06-01,21220,26257,1136,1174,22284.7206888223,27574.8731311907,1193.17938200336,1233.08179167347,5218,5488.09111915347
503,Atlanta Hawks,2021-07-01,6030,8264,882,969,6364.16452769038,8723.95352134553,931.021240565515,1023.33470733534,5296,5613.864566900705
503,Atlanta Hawks,2021-08-01,858,999,190,199,919.612826887322,1070.92269019438,203.656983405277,213.328566059746,5145,5531.004374972861
503,Atlanta Hawks,2021-09-01,36,208,19,49,39.3088137463192,226.861038047092,20.7842805476811,53.5114179217331,4995,5456.300008343486
