State,Team,Month,nba web/app unique visitors,search events (unique users),youtube videos watched (unique users),nba web/app unique visitors.1,search events (unique users).1,youtube videos watched (unique users).1,num_users,weight avg
AK,No Team,9/1/2021,0,1,1,0,1.27808,1.27808,16,0.909525
AK,No Team,10/1/2021,0,2,0,0,1.13697,0,13,1.08225
AK,No Team,11/1/2021,0,1,0,0,0.33261,0,11,0.843124
AK,No Team,12/1/2021,0,0,1,0,0,0.37595,14,1.105191
AK,No Team,1/1/2022,1,1,0,1.28515,1.28515,0,11,1.059986
AK,No Team,2/1/2022,0,0,1,0,0,0.39544,12,0.992365
AK,No Team,3/1/2022,0,0,1,0,0,0.72307,24,0.909706
AK,No Team,4/1/2022,1,1,1,0.84295,0.84295,0.84295,21,0.908601
AK,No Team,5/1/2022,1,0,1,0.44713,0,0.95093,24,0.848662
AK,No Team,6/1/2022,1,1,1,0.9535,0.9535,0.9535,61,0.787472
AK,No Team,7/1/2022,1,0,1,1.91423,0,1.91423,16,1.256841
AL,Unsure,9/1/2021,1,4,4,0.22459,5.3699,1.84361,159,0.841418
AL,Unsure,10/1/2021,4,10,4,2.90064,9.90064,2.18963,148,0.801098
AL,Unsure,11/1/2021,6,13,5,6.66025,12.35289,2.9263,147,0.824892
AL,Unsure,12/1/2021,1,4,9,0.37629,2.60738,8.76775,144,0.825931
AL,Unsure,1/1/2022,0,5,7,0,5.51647,4.63916,159,0.838772
AL,Unsure,2/1/2022,5,5,8,3.44289,6.33907,9.3087,155,0.856954
AL,Unsure,3/1/2022,6,8,6,3.28193,11.80395,5.06418,351,0.806851
AL,Unsure,4/1/2022,13,10,15,8.70899,12.79338,14.62638,342,0.781112
AL,Unsure,5/1/2022,7,12,8,6.38789,20.48641,5.64038,316,0.809602
AL,Unsure,6/1/2022,8,15,16,7.71795,16.66959,15.61845,841,0.744464
AL,Unsure,7/1/2022,7,14,15,8.637,15.61048,11.59184,154,1.126235
AL,Unsure,8/1/2022,4,9,19,3.09853,13.68453,17.73911,652,0.817353
AR,Unsure,9/1/2021,0,0,3,0,0,3.30829,98,0.818121
AR,Unsure,10/1/2021,2,3,3,2.47569,3.33446,3.44213,79,0.834464
AR,Unsure,11/1/2021,2,5,3,2.01942,3.14752,3.25394,78,0.749661
AR,Unsure,12/1/2021,0,0,5,0,0,4.69222,87,0.740365
AR,Unsure,1/1/2022,0,1,8,0,0.39466,7.63293,87,0.811858
AR,Unsure,2/1/2022,2,3,5,3.54575,1.74978,3.00876,87,0.880878
AR,Unsure,3/1/2022,2,4,4,1.88884,4.04973,4.38666,188,0.854975
AR,Unsure,4/1/2022,2,4,7,1.75717,3.32369,10.52899,174,0.840397
AR,Unsure,5/1/2022,2,6,3,1.17585,5.88193,3.27683,165,0.848166
AR,Unsure,6/1/2022,1,6,6,0.2923,6.87282,5.38307,444,0.722777
AR,Unsure,7/1/2022,2,4,8,2.01181,4.23936,6.55691,98,1.191819
AR,Unsure,8/1/2022,2,3,7,0.94714,3.52309,8.86878,362,0.844758
AZ,Phoenix Suns,9/1/2021,5,9,3,3.35604,13.20646,5.21771,258,1.00479
AZ,Phoenix Suns,10/1/2021,4,23,11,8.72212,26.81376,11.64511,240,1.025604
AZ,Phoenix Suns,11/1/2021,3,27,10,4.09871,28.18389,10.13977,234,1.034655
AZ,Phoenix Suns,12/1/2021,4,6,8,3.98313,4.86638,6.7576,241,1.052957
AZ,Phoenix Suns,1/1/2022,6,10,9,8.42499,7.67186,6.29589,243,1.042406
AZ,Phoenix Suns,2/1/2022,1,12,7,0.37533,8.44311,6.9944,236,1.051137
AZ,Phoenix Suns,3/1/2022,9,17,13,13.50339,20.91389,18.23559,437,1.154012
AZ,Phoenix Suns,4/1/2022,15,17,17,20.68418,16.96331,20.99101,419,1.219232
AZ,Phoenix Suns,5/1/2022,6,22,16,9.75543,21.41757,16.1369,404,1.219657
AZ,Phoenix Suns,6/1/2022,5,21,15,2.88706,22.33863,17.42463,1012,1.037178
AZ,Phoenix Suns,7/1/2022,7,12,21,7.8549,10.01804,27.05904,253,1.74106
AZ,Phoenix Suns,8/1/2022,11,11,20,10.99831,18.90461,19.84763,879,1.144414
CA,Multiple,9/1/2021,11,28,28,13.9729,38.40639,41.632,1002,1.235637
CA,Multiple,10/1/2021,25,58,29,37.24271,90.45641,48.78469,874,1.225597
CA,Multiple,11/1/2021,21,78,23,28.1433,126.80843,40.73738,873,1.235549
CA,Multiple,12/1/2021,23,38,43,33.56871,69.39545,67.55277,946,1.229724
CA,Multiple,1/1/2022,28,35,38,37.81885,56.82684,66.77091,976,1.253051
CA,Multiple,2/1/2022,23,42,50,35.56105,60.67265,81.43883,951,1.237206
CA,Multiple,3/1/2022,50,50,60,72.89433,87.99819,115.37542,1711,1.274356
CA,Multiple,4/1/2022,51,74,52,77.33206,136.83677,104.38353,1697,1.268399
CA,Multiple,5/1/2022,62,74,65,81.17169,129.96708,112.28495,1703,1.261094
CA,Multiple,6/1/2022,55,97,62,79.39717,174.39891,132.89666,4049,1.074244
CA,Multiple,7/1/2022,43,44,79,51.52783,87.05597,117.48476,935,1.783673
CA,Multiple,8/1/2022,29,40,74,34.96105,92.77921,119.54004,3252,1.184894
CO,Denver Nuggets,9/1/2021,0,4,5,0,4.27391,7.77413,166,1.053716
CO,Denver Nuggets,10/1/2021,3,6,7,3.53771,4.35635,6.97409,164,1.021969
CO,Denver Nuggets,11/1/2021,4,9,4,5.77819,10.90714,3.52734,163,1.031766
CO,Denver Nuggets,12/1/2021,5,2,5,6.07575,1.9174,7.48891,174,1.008286
CO,Denver Nuggets,1/1/2022,2,2,8,3.341,1.70904,12.18349,173,0.962185
CO,Denver Nuggets,2/1/2022,1,6,7,1.50991,8.81133,9.00606,171,0.944212
CO,Denver Nuggets,3/1/2022,7,7,8,10.8173,10.58331,17.95785,319,1.064641
CO,Denver Nuggets,4/1/2022,7,8,13,10.92554,12.92897,16.67898,306,1.064454
CO,Denver Nuggets,5/1/2022,3,8,10,5.93355,8.128,14.42582,313,1.074604
CO,Denver Nuggets,6/1/2022,6,16,10,7.69014,15.68346,16.84972,674,0.956255
CO,Denver Nuggets,7/1/2022,5,1,7,5.67466,0.49501,9.72752,163,1.589159
CO,Denver Nuggets,8/1/2022,2,2,4,4.25759,3.74203,5.0918,521,1.094222
CT,Boston Celtics,9/1/2021,2,2,1,1.78556,1.23899,0.94606,134,0.894699
CT,Boston Celtics,10/1/2021,4,8,4,3.12912,5.05842,5.79063,112,0.890292
CT,Boston Celtics,11/1/2021,2,10,6,1.79277,6.35926,5.76339,117,0.929331
CT,Boston Celtics,12/1/2021,3,4,5,2.35844,3.0941,3.71805,117,0.923411
CT,Boston Celtics,1/1/2022,4,4,7,3.16198,2.60989,6.74787,122,0.829958
CT,Boston Celtics,2/1/2022,4,5,1,2.87913,3.05931,1.0258,113,0.868598
CT,Boston Celtics,3/1/2022,6,7,3,6.1984,5.85516,3.03731,213,0.967726
CT,Boston Celtics,4/1/2022,7,8,9,5.75809,5.25235,6.39315,194,0.982062
CT,Boston Celtics,5/1/2022,4,6,8,3.42291,5.72032,7.12406,196,1.00746
CT,Boston Celtics,6/1/2022,4,10,7,6.1823,9.82411,6.43649,410,0.995946
CT,Boston Celtics,7/1/2022,6,7,9,5.29292,10.45098,8.09456,128,1.408422
CT,Boston Celtics,8/1/2022,6,5,4,7.10415,3.7405,3.24672,346,1.126193
DC,Washington Wizards,9/1/2021,0,1,4,0,0.94688,3.58177,21,1.052538
DC,Washington Wizards,10/1/2021,1,1,4,0.39823,1.26458,4.11381,21,0.99315
DC,Washington Wizards,11/1/2021,0,1,0,0,0.9631,0,21,0.999873
DC,Washington Wizards,12/1/2021,0,1,2,0,0.71051,1.51796,20,1.00103
DC,Washington Wizards,1/1/2022,0,1,0,0,0.98593,0,20,0.922106
DC,Washington Wizards,2/1/2022,0,0,3,0,0,2.11028,22,0.886815
DC,Washington Wizards,4/1/2022,0,3,2,0,4.797,2.48376,33,0.911832
DC,Washington Wizards,5/1/2022,0,1,1,0,0.37662,0.66845,34,0.8842
DC,Washington Wizards,6/1/2022,1,0,1,1.22169,0,0.67338,73,0.794036
DC,Washington Wizards,7/1/2022,0,1,5,0,0.38822,2.22964,26,1.018756
DC,Washington Wizards,8/1/2022,0,1,2,0,0.94371,1.39313,69,0.902459
DE,Unsure,9/1/2021,0,1,1,0,1.36618,0.43883,36,1.055636
DE,Unsure,10/1/2021,0,3,1,0,2.67759,0.44831,34,1.054604
DE,Unsure,11/1/2021,0,3,0,0,2.51452,0,38,1.008642
DE,Unsure,12/1/2021,0,0,1,0,0,0.41023,39,1.030877
DE,Unsure,1/1/2022,0,3,2,0,2.69061,3.51564,35,1.062924
DE,Unsure,2/1/2022,0,1,2,0,1.38271,1.3215,35,1.044326
DE,Unsure,3/1/2022,2,3,0,1.25262,5.87596,0,73,0.911333
DE,Unsure,4/1/2022,1,2,1,0.90843,5.77042,1.90746,67,0.953088
DE,Unsure,5/1/2022,0,2,2,0,2.53206,1.28861,59,1.049744
DE,Unsure,6/1/2022,0,3,1,0,6.08583,0.87743,128,0.839694
DE,Unsure,7/1/2022,0,2,0,0,5.36941,0,36,1.286292
DE,Unsure,8/1/2022,0,1,2,0,4.72534,2.451,105,0.939122
FL,Multiple,9/1/2021,5,22,20,9.07942,35.63803,19.28112,911,1.043658
FL,Multiple,10/1/2021,9,35,21,13.42636,46.37136,15.85704,839,1.054536
FL,Multiple,11/1/2021,12,56,28,19.6202,67.06103,23.33526,839,1.070199
FL,Multiple,12/1/2021,9,24,27,8.22134,31.42412,22.49847,885,1.034951
FL,Multiple,1/1/2022,17,23,26,14.75828,29.49845,21.86002,865,1.025319
FL,Multiple,2/1/2022,8,32,35,11.54492,36.04212,36.31617,849,1.043572
FL,Multiple,3/1/2022,36,41,40,33.97143,53.95595,42.71309,1576,1.022095
FL,Multiple,4/1/2022,36,43,44,36.26516,54.19419,48.56879,1555,1.015502
FL,Multiple,5/1/2022,34,42,61,31.06625,48.55415,62.48044,1506,1.029173
FL,Multiple,6/1/2022,22,54,58,18.10747,67.34164,62.74406,3324,0.900433
FL,Multiple,7/1/2022,24,29,73,24.29583,31.2692,81.01461,908,1.373079
FL,Multiple,8/1/2022,20,28,50,22.72091,25.2549,62.15478,2652,0.999492
GA,Atlanta Hawks,9/1/2021,4,5,5,2.4992,5.32363,5.96866,401,0.97345
GA,Atlanta Hawks,10/1/2021,4,12,6,4.65248,18.85528,5.23008,385,0.959717
GA,Atlanta Hawks,11/1/2021,5,18,11,5.4211,27.361,12.41335,379,0.964206
GA,Atlanta Hawks,12/1/2021,5,10,19,5.48044,10.60813,21.35836,396,0.961985
GA,Atlanta Hawks,1/1/2022,7,12,17,6.0438,19.79549,13.76497,392,0.964047
GA,Atlanta Hawks,2/1/2022,6,12,20,4.64693,13.4034,20.87918,386,0.980831
GA,Atlanta Hawks,3/1/2022,25,15,19,19.76833,21.56557,16.9033,754,0.906825
GA,Atlanta Hawks,4/1/2022,22,10,13,20.53365,16.04586,18.79685,695,0.921322
GA,Atlanta Hawks,5/1/2022,14,19,27,8.86436,20.43398,30.47852,714,0.903517
GA,Atlanta Hawks,6/1/2022,19,24,30,16.81936,28.58465,25.4053,1701,0.772065
GA,Atlanta Hawks,7/1/2022,13,12,37,12.78038,16.01922,29.17656,393,1.151875
GA,Atlanta Hawks,8/1/2022,11,18,27,8.83265,17.29838,30.42503,1329,0.846509
HI,No Team,9/1/2021,0,2,1,0,6.09978,1.75454,26,1.249741
HI,No Team,10/1/2021,0,1,1,0,1.68523,1.68523,15,1.331068
HI,No Team,11/1/2021,0,2,1,0,4.03692,1.63646,16,1.242388
HI,No Team,12/1/2021,2,2,3,1.77936,2.46226,3.16125,23,1.364741
HI,No Team,1/1/2022,2,1,1,2.61089,1.61598,1.61598,24,1.316672
HI,No Team,2/1/2022,0,2,1,0,2.42536,1.6304,24,1.295615
HI,No Team,3/1/2022,2,3,3,4.51847,5.47739,6.54406,32,1.432639
HI,No Team,4/1/2022,2,3,3,4.69684,7.50872,5.49167,36,1.379963
