,Team,Month,win %,games won,cum. win %,cum. games won,month_of_season,games played
0,Phoenix Suns,2021-10-01,0.4,2,0.0,0,1,5.0
1,Memphis Grizzlies,2021-10-01,0.5,3,0.0,0,1,6.0
2,Golden State Warriors,2021-10-01,0.8333333333333334,5,0.0,0,1,6.0
3,Miami Heat,2021-10-01,0.8333333333333334,5,0.0,0,1,6.0
4,Dallas Mavericks,2021-10-01,0.6666666666666666,4,0.0,0,1,6.0
5,Boston Celtics,2021-10-01,0.3333333333333333,2,0.0,0,1,6.0
6,Milwaukee Bucks,2021-10-01,0.42857142857142855,3,0.0,0,1,7.0
7,Philadelphia 76ers,2021-10-01,0.6666666666666666,4,0.0,0,1,6.0
8,Utah Jazz,2021-10-01,0.8333333333333334,5,0.0,0,1,6.0
9,Denver Nuggets,2021-10-01,0.6666666666666666,4,0.0,0,1,6.0
10,Toronto Raptors,2021-10-01,0.5714285714285714,4,0.0,0,1,7.0
11,Chicago Bulls,2021-10-01,0.8333333333333334,5,0.0,0,1,6.0
12,Minnesota Timberwolves,2021-10-01,0.6,3,0.0,0,1,5.0
13,Brooklyn Nets,2021-10-01,0.5714285714285714,4,0.0,0,1,7.0
14,Cleveland Cavaliers,2021-10-01,0.42857142857142855,3,0.0,0,1,7.0
15,Atlanta Hawks,2021-10-01,0.5,3,0.0,0,1,6.0
16,Charlotte Hornets,2021-10-01,0.7142857142857143,5,0.0,0,1,7.0
17,Los Angeles Clippers,2021-10-01,0.2,1,0.0,0,1,5.0
18,New York Knicks,2021-10-01,0.8333333333333334,5,0.0,0,1,6.0
19,New Orleans Pelicans,2021-10-01,0.14285714285714285,1,0.0,0,1,7.0
20,Washington Wizards,2021-10-01,0.8333333333333334,5,0.0,0,1,6.0
21,San Antonio Spurs,2021-10-01,0.3333333333333333,2,0.0,0,1,6.0
22,Los Angeles Lakers,2021-10-01,0.5714285714285714,4,0.0,0,1,7.0
23,Sacramento Kings,2021-10-01,0.5,3,0.0,0,1,6.0
24,Portland Trail Blazers,2021-10-01,0.5,3,0.0,0,1,6.0
25,Indiana Pacers,2021-10-01,0.14285714285714285,1,0.0,0,1,7.0
26,Oklahoma City Thunder,2021-10-01,0.16666666666666666,1,0.0,0,1,6.0
27,Detroit Pistons,2021-10-01,0.16666666666666666,1,0.0,0,1,6.0
28,Orlando Magic,2021-10-01,0.14285714285714285,1,0.0,0,1,7.0
29,Houston Rockets,2021-10-01,0.16666666666666666,1,0.0,0,1,6.0
30,Phoenix Suns,2021-11-01,1.0,16,0.4,2,2,16.0
31,Memphis Grizzlies,2021-11-01,0.5333333333333333,8,0.5,3,2,15.0
32,Golden State Warriors,2021-11-01,0.8666666666666667,13,0.8333333333333334,5,2,15.0
33,Miami Heat,2021-11-01,0.5333333333333333,8,0.8333333333333334,5,2,15.0
34,Dallas Mavericks,2021-11-01,0.46153846153846156,6,0.6666666666666666,4,2,13.0
35,Boston Celtics,2021-11-01,0.6,9,0.3333333333333333,2,2,15.0
36,Milwaukee Bucks,2021-11-01,0.7142857142857143,10,0.42857142857142855,3,2,14.0
37,Philadelphia 76ers,2021-11-01,0.4666666666666667,7,0.6666666666666666,4,2,15.0
38,Utah Jazz,2021-11-01,0.6,9,0.8333333333333334,5,2,15.0
39,Denver Nuggets,2021-11-01,0.42857142857142855,6,0.6666666666666666,4,2,14.0
40,Toronto Raptors,2021-11-01,0.3333333333333333,5,0.5714285714285714,4,2,15.0
41,Chicago Bulls,2021-11-01,0.5625,9,0.8333333333333334,5,2,16.0
42,Minnesota Timberwolves,2021-11-01,0.5,8,0.6,3,2,16.0
43,Brooklyn Nets,2021-11-01,0.7857142857142857,11,0.5714285714285714,4,2,14.0
44,Cleveland Cavaliers,2021-11-01,0.5714285714285714,8,0.42857142857142855,3,2,14.0
45,Atlanta Hawks,2021-11-01,0.5333333333333333,8,0.5,3,2,15.0
46,Charlotte Hornets,2021-11-01,0.5,8,0.7142857142857143,5,2,16.0
47,Los Angeles Clippers,2021-11-01,0.625,10,0.2,1,2,16.0
48,New York Knicks,2021-11-01,0.4,6,0.8333333333333334,5,2,15.0
49,New Orleans Pelicans,2021-11-01,0.3125,5,0.14285714285714285,1,2,16.0
50,Washington Wizards,2021-11-01,0.5333333333333333,8,0.8333333333333334,5,2,15.0
51,San Antonio Spurs,2021-11-01,0.3076923076923077,4,0.3333333333333333,2,2,13.0
52,Los Angeles Lakers,2021-11-01,0.5,8,0.5714285714285714,4,2,16.0
53,Sacramento Kings,2021-11-01,0.3125,5,0.5,3,2,16.0
54,Portland Trail Blazers,2021-11-01,0.5,8,0.5,3,2,16.0
55,Indiana Pacers,2021-11-01,0.5,8,0.14285714285714285,1,2,16.0
56,Oklahoma City Thunder,2021-11-01,0.35714285714285715,5,0.16666666666666666,1,2,14.0
57,Detroit Pistons,2021-11-01,0.2,3,0.16666666666666666,1,2,15.0
58,Orlando Magic,2021-11-01,0.2,3,0.14285714285714285,1,2,15.0
59,Houston Rockets,2021-11-01,0.21428571428571427,3,0.16666666666666666,1,2,14.0
60,Phoenix Suns,2021-12-01,0.6428571428571429,9,0.8571428571428571,18,3,13.999999999999998
61,Memphis Grizzlies,2021-12-01,0.75,12,0.5238095238095238,11,3,16.0
62,Golden State Warriors,2021-12-01,0.6923076923076923,9,0.8571428571428571,18,3,13.0
63,Miami Heat,2021-12-01,0.6666666666666666,10,0.6190476190476191,13,3,15.0
64,Dallas Mavericks,2021-12-01,0.4375,7,0.5263157894736842,10,3,16.0
65,Boston Celtics,2021-12-01,0.4,6,0.5238095238095238,11,3,15.0
66,Milwaukee Bucks,2021-12-01,0.6875,11,0.6190476190476191,13,3,16.0
67,Philadelphia 76ers,2021-12-01,0.5714285714285714,8,0.5238095238095238,11,3,14.0
68,Utah Jazz,2021-12-01,0.8571428571428571,12,0.6666666666666666,14,3,14.0
69,Denver Nuggets,2021-12-01,0.5384615384615384,7,0.5,10,3,13.0
