team,Month,nba games watched unweighted,nba tv shows watched unweighted,nba games watched - unique users unweighted,nba tv shows watched - unique users unweighted,nba games watched,nba tv shows watched,nba games watched - unique users,nba tv shows watched - unique users,num_users,weighted_num_users
Boston Celtics,4/1/2021,109169,135874,15755,17440,101238.3018,125912.3837,14583.29587,16149.01653,114016,107662.0049
Boston Celtics,5/1/2021,223497,259189,22877,24327,218465.1633,253337.8139,22392.57908,23840.72747,114756,114895.8221
Boston Celtics,6/1/2021,238245,285789,19935,21074,236411.9525,283566.0225,19815.95367,20957.99683,114375,116117.5677
Boston Celtics,7/1/2021,90631,121473,17246,20485,90881.2452,121944.5526,17309.34133,20604.34587,117132,120176.208
Boston Celtics,8/1/2021,16866,18560,4039,4184,17039.0443,18747.33053,4097.299002,4244.861228,115173,119280.1646
Boston Celtics,9/1/2021,428,2239,174,654,454.3853358,2351.663913,182.4003313,666.0124718,114404,118881.9425
Boston Celtics,10/1/2021,49066,67634,9336,10909,50133.03448,69069.14064,9528.175066,11137.97799,114924,119904.5413
Boston Celtics,11/1/2021,91719,119962,14461,15921,93401.68032,122188.6439,14728.4534,16233.52197,112912,117769.2809
Boston Celtics,12/1/2021,97794,127110,16084,17916,98410.59599,127990.7762,16218.20147,18070.79307,114410,118281.4233
Boston Celtics,1/1/2022,82108,112168,12674,15002,82732.13807,112832.0628,12707.7893,15021.69061,112969,115798.646
Boston Celtics,2/1/2022,115117,148779,16448,18713,115231.8469,148954.0766,16474.48784,18759.88735,109478,112359.6554
Boston Celtics,3/1/2022,123871,157878,17306,19593,124105.0356,158249.0344,17348.95945,19676.09099,108757,112082.2286
Boston Celtics,4/1/2022,286086,336309,26996,29055,289827.3822,340854.2089,27444.64064,29571.25058,108686,112985.9728
Boston Celtics,5/1/2022,571617,676893,40357,42298,577905.051,684775.3356,41191.45696,43246.84672,110296,116363.9552
Boston Celtics,6/1/2022,238928,317588,38029,42303,242111.479,322741.3507,38984.95965,43627.00557,109249,116221.0276
Boston Celtics,7/1/2022,18040,25396,5251,7037,18923.37743,26611.20848,5490.137006,7352.608298,108259,115829.9217
Boston Celtics,8/1/2022,1169,5931,614,2429,1253.38148,6364.967363,658.2197233,2585.838021,108544,117171.752
Boston Celtics,9/1/2022,635,5852,260,2399,689.4904259,6305.318823,280.2099428,2570.016729,109148,118387.2957
Boston Celtics,10/1/2022,76895,97924,12365,13744,82882.44214,105643.3739,13279.58006,14791.33492,103930,115155.8137
New York Knicks/Brooklyn Nets,4/1/2021,355901,427060,33976,36186,263293.5233,315988.2302,25108.43104,26754.94968,200037,147459.897
New York Knicks/Brooklyn Nets,5/1/2021,706043,815744,48998,51179,549018.0418,634236.9537,38124.89512,39820.19389,200342,155362.3217
New York Knicks/Brooklyn Nets,6/1/2021,820534,993234,50292,52263,646384.9828,782471.7091,39616.37215,41170.67614,199723,157678.9119
New York Knicks/Brooklyn Nets,7/1/2021,240435,332282,37428,42626,192050.9652,265482.1853,29905.11679,34073.70823,202585,162349.2218
New York Knicks/Brooklyn Nets,8/1/2021,44520,51300,8102,8538,36006.38206,41495.01288,6552.95538,6906.421278,197563,160216.0825
New York Knicks/Brooklyn Nets,9/1/2021,1977,8332,690,1958,1616.883194,6809.551346,564.3012159,1600.069745,196414,160703.545
New York Knicks/Brooklyn Nets,10/1/2021,211196,273805,25444,27522,173496.9301,224929.4117,20902.42893,22609.24302,195715,160894.7045
New York Knicks/Brooklyn Nets,11/1/2021,260804,339863,28112,30483,214560.3948,279602.2239,23125.69123,25076.25426,192178,158318.7516
New York Knicks/Brooklyn Nets,12/1/2021,319041,399005,34017,36531,260287.1754,325512.74,27751.69564,29801.34569,193401,158038.4774
New York Knicks/Brooklyn Nets,1/1/2022,333274,422449,29908,32827,270544.3383,342935.0586,24279.11502,26648.64609,193317,157183.8488
New York Knicks/Brooklyn Nets,2/1/2022,314358,413988,32953,36697,255998.7709,337132.5617,26836.20164,29885.12278,188442,153671.318
